Name,Text
pushup,"The push up exercise is one of the best exercises available
for building a strong chest, arms, core and back.

Steps : 


1.) Start off by lying face down on the floor or on a
    mat with your feet together and arms shoulder width apart.


2.) Slowly draw your abs in, inhale and raise your body off of the 
     floor until your arms are straight, keeping your head and neck 
      level with your body as this will be your starting position.     
                               

3.) As you lower yourself down towards the ground, exhale until
    your chest almost touches the ground and you feel a stretch
    in your chest muscles.


4.) Hold for a count at the bottom position and then return back
    up to the starting position.


Tips :


1.) A close grip works more of the inner pectorals and a wide grip
    works more of the outer pectorals."
pullup,"Steps : 


1.) Grab the bar with your palms facing outward.


2.) Lift your self up till your chin is above the bar.


3.) Pause for a few seconds.


4.) Lower yourself down slowly.


5.) Repeat for the desired amount of reps.


Tips : 


1.) For an increased workout, wear ankle weights."
chinup,"The Chin-Up exercise is one of the most basic and best exercises
for building strength in the back and arms.


Steps : 


1.) Start off by grabbing the bar with an overhand grip, letting
    your body hang from the bar and keeping your arms straight as
    this will be your starting position.


2.) Once in position, slowly pull yourself up so that your chin is
    higher than the bar, squeezing your back muscles and lats and
    hold for a count.


3.) Return back to the starting position and repeat for as many
    reps and sets as desired.


Tips : 


1.) Your legs should stay in line with your torso throughout this
    exercise."
calve raises,"Steps : 


1.) Hang on to a sturdy object for balance, perhaps a bar on a
    smith machine and stand on a dumbbell handle with a small
    plate loaded.  


2.) Now roll your foot slightly forward so that you can get a
    nice stretch of the calf. This will be your starting
    position.


3.) Lift the calf as you roll your foot over the top of the handle
    so that you get a full extension. 


4.) Exhale while doing this.  


5.) Now inhale as you roll the dumbbell slightly forward and come
    back down.    


6.) Repeat for the desired amount of reps."
crunches,"The crunch exercise is the most common abdominal exercise and
often is improperly performed.


Steps : 


1.) Start off by placing your hands across your chest or on either
    side of your head as this will be your starting position.


2.) Then slowly raise your upper body (head, shoulders and chest)
    up off of the floor and towards your knees, squeezing and
    crunching your abs.


3.) Hold this position for a count, squeezing your abs, then
    return back to the starting position.


Tips :


1.) Make sure to keep your hips straight and your lower back
    against the floor during this exercise."
dips,"The chest dip exercise is a variation of the tricep dip exercise
that is mainly focused upon your chest rather than the tricep
muscle.


Steps : 


1.) Start off by gripping the bars of a dip bar (if you do not
    know what this machine is ask for assistance) and push
    yourself up into the starting position.


2.) In the starting position of this exercise your arms should
    be kept straight and close to your body and knees bent so
    that it never touches the ground.


3.) Performing this exercise, slowly lower your body towards
    the ground, leading with your chest on the descent.


4.) As you lower your body, your chest should be pointing down
    towards the ground at a 45 degree angle.


5.) Continue to lower your body until you feel a stretch in
    your chest and shoulders, hold for a count then return back
    to the starting position.


Tips :


1.) If you cannot manage this exercise yet, it is important to
    get or use a spotter to hold onto your feet and assist you
    in the motion.


2.) Prevent from locking your elbows in the starting position
    and keep your abs tight throughout the exercise."
diamond pushup,"Steps :


1.) Start off laying on the floor in a push up position with your
    feet extended out behind you and your hands shoulder width
    apart.


2.) Slowly walk your hands inward so that your fingertips and your
    thumbs are touching and creating almost a diamond shape or as
    close together as possible.


3.) Lower yourself towards the ground until your chest almost
    touches the floor and hold.


4.) Return back to the starting position squeezing your chest on
    the way back up.


5.) Repeat for as many reps and sets as desired."
scissor,"Steps : 


1.) To begin this exercise; start off with your back flat on the
    floor and hands extended to your side.


2.) Bend your knees slightly and lift your legs up off of the
    ground. 


3.) Then lift your left leg above your right leg as your right
    leg moves down close towards the floor.


4.) Alternate this motion by lifting your right leg higher above
    your left leg while your left leg moves closer towards the
    ground keeping your back still on the floor the entire
    exercise.


5.) Repeat this exercise for as many repetitions as needed."
jump squats,"Steps : 


1.) To begin this exercise; start off by crossing your arms over
    your chest and keeping your body standing straight up.


2.) Then squat down as in a normal full squat bending at your
    knees until your thighs are parallel with the floor.


3.) When you reach the full squat position, use the force from
    your heels to push up and jump straight into the air as high
    as possible.


4.) As soon as you touch the floor, immediately repeat the
    exercise once again.


5.) Repeat this exercise for as many repetitions as needed"
incline pushup,"Incline pushups are an ideal exercise if you're looking to mix up
your routine or if you're wanting to take pressure off your
upper-body joints.


Steps:


1.) Stand in front of your box or bench, then squat or bend down
    and place both hands on either side of it with your fingers
    pointing forward.


2.) Once your hands are in the right position, step your body
    back into a plank position, one leg at a time


3.) Next, bend your arms to help you slowly lower your chest
    toward the box. Straighten your arms to bring yourself back
    up into a straight line.


4.) Repeat 10 times for 3 sets to start. You can increase the
    repetitions within each set as you get stronger."
